section,row,n_section_id,n_row_id,valid
31RS,L,157,10,True
163LG,T,122,17,True
11RS,F,199,5,True
Infield Loge Box Value 145,R,37,15,True
Reserve MVP 11,F,199,5,True
Loge 133,B,71,1,True
Infield Reserve IFR7,E,107,4,True
50FD,D,179,4,True
Preferred Field Box 45,M,211,11,True
Loge 128,E,121,4,True
35RS,B,153,1,True
138LG,B,65,1,True
45FD,M,211,11,True
157LG,B,8,1,True
26FD,K,218,9,True
Preferred Field Box 44,N,212,12,True
44FD,M,212,11,True
129LG,F,120,5,True
146LG,K,40,9,True
Field Box VIP & MVP FBMVP20,K,171,9,True
159LG,R,13,15,True
13TD,B,237,1,True
Preferred Reserve 48,N,132,12,True
Loge 129,L,120,10,True
31FD,O,242,13,True
31FD,U,242,18,True
Infield Loge Box 137,H,75,7,True
Loge 127,A,127,0,True
Loge Box MVP 117,J,143,8,True
114LG,N,144,12,True
31FD,A-Z,,,False
Loge 158,S,12,16,True
Loge Box 160,F,281,5,True
42RS,JJ,124,8,True
Loge 162,K,279,9,True
23RS,T,197,17,True
11RS,H,199,7,True
Infield Reserve 23,P,197,14,True
Infield Box 26,B,218,1,True
Infield Box IFB31,O,242,13,True
Left Field Pavilion 311,O,160,13,True
Field Box MVP 17,N,263,12,True
Preferred Field Box 45,O,211,13,True
20RS,C,206,2,True
Loge 161,D,63,3,True
Loge Box VIP & MVP 121,H,116,7,True
37RS,AA,151,0,True
305PL,K,101,9,True
53 FD,F,178,6,True
Preferred Field Value 50,M,179,12,True
122LG,A,181,0,True
Preferred Field Box Value 49,S,215,17,True
53RS,HH,83,7,True
19RS,C,34,2,True
102LG,F,247,5,True
Preferred Field Box VIP 40,D,208,3,True
153LG,O,4,13,True
10TD,L,209,10,True
148LG,C,36,2,True
Preferred Reserve VIP 44,D,189,3,True
307PL,E,89,4,True
24RS,E,255,4,True
Preferred Field Value 46,C,214,2,True
Field Box FB45,B,211,1,True
312PR,B,141,1,True
9RS,A,118,0,True
Infield Reserve 27,S,193,16,True
164LG,H,277,7,True
29FD,E,231,4,True
7FD,N,168,12,True
47FD,E,213,4,True
Top Deck 2,G,182,6,True
ALL YOU CAN EAT PAVILION 304,C,117,2,True
Field Box VIP & MVP FBMVP20,B,171,1,True
4RS,A,108,0,True
23RS,V,197,19,True
127LG,E,127,4,True
Preferred Reserve 35,J,153,8,True
48RS,F,132,5,True
Left Field Pavilion 313,Q,62,15,True
Loge Box VIP & MVP 132,C,70,2,True
305PL,Q,101,15,True
Field Box MVP 22,L,161,10,True
39RS,K,149,9,True
Preferred Loge Box Value 163,R,122,15,True
8TD,L,52,10,True
157LG,H,8,7,True
122LG,A,181,0,True
139LG,O,66,13,True
Lower Reserve LR28,E,133,4,True
157LG,H,8,7,True
Top Deck TD7,G,201,6,True
Lower Reserve LR35,B,153,1,True
44RS,S,189,16,True
Reserve MVP 10,U,217,18,True
41FD,K,60,9,True
28RS,R,133,15,True
Top Deck VIP 2,G,182,6,True
48FD,D,216,4,True
Infield Loge Box Value Front Row 149,A,35,0,True
2RS,E,110,4,True
Field Box VIP & MVP FBMVP22,C,161,2,True
Pavilion 309,J,88,8,True
140LG,C,42,2,True
Preferred Loge Box 152,K,3,9,True
Lower Reserve LR23,K,197,9,True
INFIELD BOX 26,O,218,13,True
Loge 160,S,281,16,True
160LG,C,281,2,True
Preferred Reserve 44,T,189,17,True
Infield Box VIP 26,B,218,1,True
Infield Box IFB34,A,159,0,True
312PR,A,141,0,True
Preferred Field Box 44,E,212,4,True
303PL,Q,67,15,True
Lower Reserve LR43,U,204,18,True
33FD,A,292,0,True
Field Box MVP 19,R,269,15,True
