section,row,n_section_id,n_row_id,valid
520,2,34,1,True
129,8,48,3,True
122,17,41,16,True
122,23,41,22,True
Promenade Reserved 506,4,169,3,True
122,19,41,18,True
Promenade Level 405,2,29,1,True
301,5,116,4,True
Promenade Infield 514,1,217,0,True
122,23,41,22,True
Promenade Level 508,8,167,7,True
305,2,120,1,True
125,7,44,9,True
135,3,7,2,True
Baseline Boxes 128,10,47,14,True
123,22,42,21,True
425,2,176,1,True
128,11,47,15,True
405,4,29,3,True
323,2,196,1,True
138,2,10,1,True
506,4,169,3,True
518,2,194,1,True
Field Box 110,15,87,19,True
Coca Cola Corner 305,2,120,1,True
109,E,124,2,True
137,3,5,2,True
Section 505,3,172,2,True
121,12,40,11,True
107,9,130,10,True
116,6,85,3,True
Field Box 110,16,87,20,True
107,7,130,8,True
128,7,47,11,True
101,8,128,5,True
422,3,107,2,True
Promenade Level 405,4,29,3,True
Baseline Boxes 129,16,48,11,True
508,1,167,0,True
112,17,89,16,True
523,5,38,4,True
121,9,40,8,True
112,14,89,13,True
107,6,130,7,True
301,4,116,3,True
426,2,111,1,True
PEPSI PORCH 303,4,118,3,True
102,8,126,5,True
Promenade Box 405,1,29,0,True
134,5,8,10,True
Field Boxes 109,3,124,5,True
301,3,116,2,True
507,5,170,4,True
508,5,167,4,True
119,1,90,0,True
107,8,130,9,True
304,3,119,2,True
113,10,88,9,True
Field Reserved 135,3,7,2,True
305,3,120,2,True
512,2,148,1,True
134,5,8,10,True
113,24,88,23,True
422,1,107,0,True
508,1,167,0,True
522,6,37,5,True
110,16,87,20,True
122,19,41,18,True
330,3,160,2,True
107,13,130,14,True
523,2,38,1,True
119,1,90,0,True
101,9,128,6,True
302,2,117,1,True
Section 136,12,6,11,True
123,14,42,13,True
109,A,124,0,True
302,5,117,4,True
Right Field 101,11,128,8,True
107,17,130,18,True
407,1,27,0,True
Promenade Level 521,7,36,6,True
106,14,129,9,True
109,A,124,0,True
515,2,149,1,True
Promenade Reserved 508,7,167,6,True
406,1,28,0,True
121,1-31,,,False
Left Field 137,2,5,1,True
Caesars Box 311,2,76,1,True
519,2,137,1,True
510,5,146,4,True
123,9,42,8,True
424,1,178,0,True
Metropolitan Boxes 113,10,88,9,True
302,2,117,1,True
519,2,137,1,True
516,7,152,6,True
Metropolitan Box 123,16,42,15,True
109,A,124,0,True
Baseline Silver 128,3,47,7,True
406,3,28,2,True
308,2,112,1,True
Field Box 126,14,45,18,True
135,4,7,3,True
Field Box 110,21,87,25,True
Excelsior Level 305,1,120,0,True
Field Boxes 126,E,45,4,True
Promenade Box 435,6,214,5,True
511,3,145,2,True
121,20,40,19,True
426,2,111,1,True
302,2,117,1,True
508,11,167,10,True
301,3,116,2,True
134,5,8,10,True
126,8,45,12,True
537,8,61,7,True
326,7,199,6,True
Promenade Level 506,5,169,4,True
328,5,203,4,True
Coca Cola Corner 303,5,118,4,True
Promenade Level 524,9,12,8,True
507,5,170,4,True
Field Box 125,8,44,10,True
Field Boxes 125,18,44,20,True
112,14,89,13,True
515,4,149,3,True
Field Box 109,10,124,12,True
Promenade Reserved 507,6,170,5,True
Excelsior Level 310,5,77,4,True
125,A,,,False
407,1,27,0,True
510,5,146,4,True
537,12,61,11,True
422,1,107,0,True
125,21,44,23,True
Field Reserved 103,6,127,5,True
129,11,48,6,True
12,14,180,11,True
509,1-17,,,False
506,5,169,4,True
519,4,137,3,True
Metropolitan Boxes 121,4,40,3,True
510,1,146,0,True
128,20,47,24,True
511,1,145,0,True
112,28,89,27,True
Promenade Level 409,3,35,2,True
Promenade Level 519,2,137,1,True
506,8,169,7,True
Promenade Reserved 508,1,167,0,True
121,4,40,3,True
107,8,130,9,True
404,2,166,1,True
FIELD BOX 110,17,87,21,True
304,1,119,0,True
537,9,61,8,True
507,6,170,5,True
523,1,38,0,True
Promenade Box 425,2,176,1,True
134,15,8,20,True
302,1,117,0,True
102,5,126,2,True
302,5,117,4,True
Promenade Level 403,1,31,0,True
328,1,203,0,True
Metropolitan Boxes 112,8,89,7,True
327,2,200,1,True
310,5,77,4,True
128,10,47,14,True
Promenade Level 525,4,18,3,True
Field Box 109,13,124,15,True
520,3,34,2,True
311,1-10,,,False
Metropolitan Boxes 122,6,41,5,True
Field Boxes 125,24,44,26,True
Coca Cola Corner 301,4,116,3,True
508,5,167,4,True
14,15,182,12,True
Caesars Box 327,2,200,1,True
136,4,6,3,True
406,3,28,2,True
129,12,48,7,True
Section 507,2,170,1,True
135,2,7,1,True
407,3,27,2,True
128,12,47,16,True
134,5,8,10,True
103,6,127,5,True
109,14,124,16,True
517,3,151,2,True
321,3,198,2,True
Coca Cola Corner 303,4,118,3,True
Field Box 109,14,124,16,True
404,1,166,0,True
328,6,203,5,True
137,1,5,0,True
128,7,47,11,True
137,3,5,2,True
Metropolitan Boxes 123,9,42,8,True
123,14,42,13,True
510,1,146,0,True
110,15,87,19,True
507,3,170,2,True
Promenade Level 506,1,169,0,True
327,8,200,7,True
12,14,180,11,True
310.,6,77,5,True
Metropolitan Boxes 122,11,41,10,True
114,7,83,6,True
Promenade Box 402,1,32,0,True
329,1,204,0,True
123,16,42,15,True
Caesars Box 311,5,76,4,True
102,7,126,4,True
110,21,87,25,True
522,4,37,3,True
Field Reserved 103,1,127,0,True
Baseline Box 106,16,129,11,True
Metropolitan Boxes 121,17,40,16,True
126,7,45,11,True
110,1-39,,,False
134,6,8,11,True
122,10,41,9,True
136,2,6,1,True
Field Box 126,13,45,17,True
112,3,89,2,True
302,1,117,0,True
502,6,173,5,True
Field Reserved 101,9,128,6,True
Metropolitan Box 122,23,41,22,True
110,24,87,28,True
135,3,7,2,True
Promenade Reserved 522,5,37,4,True
134,4,8,9,True
521,2,36,1,True
Promenade Reserved 521,5,36,4,True
516,3,152,2,True
426,2,111,1,True
317,2,78,1,True
113,19,88,18,True
128,E,47,4,True
Caesars Box 332,6,162,5,True
422,4,107,3,True
136,5,6,4,True
Promenade Level 507,6,170,5,True
305,1,120,0,True
107,7,130,8,True
520,8,34,7,True
126,15,45,19,True
508,1,167,0,True
507,9,170,8,True
112,5,89,4,True
123,15,42,14,True
310,2,77,1,True
520,5,34,4,True
321,4,198,3,True
128,7,47,11,True
407,3,27,2,True
517,5,151,4,True
Field Reserved 134,4,8,9,True
126,11,45,15,True
107,7,130,8,True
Promenade Infield 518,9,194,8,True
407,1,27,0,True
Promenade Level 519,12,137,11,True
113,23,88,22,True
107,9,130,10,True
112,28,89,27,True
137,2,5,1,True
Excelsior Level 304,1,119,0,True
305,4,120,3,True
Excelsior Level 305,3,120,2,True
