section,row,n_section_id,n_row_id,valid
GS 17,11,340,10,True
BL 36,16,2,15,True
GRANDSTAND 6,14,113,13,True
Outfield Grandstand GS33,3,,,False
Infield Grandstand GS18,8,337,7,True
Grandstands 16,8,341,7,True
Grandstands 9,4,114,3,True
Right Field Box RFB4,F,68,0,True
BLEACHER 36,15,2,14,True
Field Box 66,L,240,8,True
Field Box 39,M,53,11,True
G14,6,339,5,True
RF BOX 6,J,66,6,True
Bleachers 39,42,5,22,True
G8,9,115,8,True
Right Field Box 7,J,65,9,True
Field Box FB39,L,53,10,True
Infield Grandstand GS11,5,342,4,True
INFIELD GRANDSTAND 19,18,336,17,True
RFB 95,WW,131,19,True
R.F. BOX 93,EE,126,1,True
L42,22,,,False
GS 11,8,342,7,True
Grandstands 12,13,344,12,True
Grandstands 14,6,339,5,True
BLEACHER 37,20,1,19,True
Infield Grandstand GS30,7,179,6,True
Outfield Grandstand 1,15,107,14,True
G29,12,301,11,True
Loge Box 119,HH,325,7,True
G24,2,243,1,True
Loge Box 101,CC,346,2,True
Right Field Box 8,K,25,10,True
Infield Grandstand GS14,2,339,1,True
GS22,18,298,17,True
RIGHT FIELD BOX 95,VV,131,18,True
OUTFIELD GRANDSTAND 7,1,112,0,True
22 GRANDSTAND,16,298,15,True
Blch 41,15,281,13,True
BLEACHER 41,13,281,11,True
Bleachers BL41,29,281,27,True
G29,6,301,5,True
G14,08,339,7,True
BLEACHER 37,4,1,3,True
Grandstands 24,7,243,6,True
Right Field Box 94,VV,132,18,True
G8,9,115,8,True
Loge 153,JJ,283,8,True
GS 9,3,114,2,True
BLEACHER 36,14,2,13,True
L43,42,,,False
Right Field Box 94,LL,132,9,True
GS 19,10,336,9,True
G8,9,115,8,True
Bleachers 42,16,278,14,True
G24,8,243,7,True
BLEACHER 37,2,1,1,True
BL 36,12,2,11,True
GS 16,6,341,5,True
Right Field Box 93,QQ,126,11,True
Pavilion Box 3,D,324,3,True
LOGE 124,FF,213,5,True
Infield Grandstand GS24,9,243,8,True
Grandstands 12,15,344,14,True
GS 26,1,294,0,True
G7,13,112,12,True
Right Field Box 97,VV,130,18,True
Loge Box 101,PP,346,13,True
Blch 41,9,281,7,True
BL 38,17,6,16,True
30,12,179,11,True
G31,4,178,3,True
BLEACHER 37,6,1,5,True
RFB 97,MM,130,10,True
Outfield Grandstand GS32,15,,,False
BL 41,12,281,10,True
Field Box FB20,M,167,11,True
GS 23,5,252,4,True
Bleachers 38,6,6,5,True
LOGE BOX 161,FF,174,5,True
L41U,49,,,False
Pavilion Box 3,E,324,4,True
94,LL,132,9,True
Bleachers BL37,39,1,38,True
GS16,19,341,18,True
Bleachers BL38,15,6,14,True
Right Field Box 93,KK,126,6,True
GS 6,1-10,,,False
G7,05,112,4,True
GS 9,3,114,2,True
Field Box 71,G,119,6,True
Infield Grandstand GS17,1,340,0,True
RF BOX 94,NN,132,11,True
Loge 119,GG,325,6,True
Bleachers 39,22,5,2,True
133,HH,102,7,True
LOGE BOX 116,LL,311,5,True
RF BOX 6,J,66,6,True
Infield Grandstand GS17,12,340,11,True
FBOX 62,H,236,5,True
L38,23,,,False
Field Box 82,L,196,7,True
Bleachers BL36,18,2,17,True
Bleacher 37,19,1,18,True
FBOX 37,A-M,,,False
L38U,39,,,False
Loge Box 113,CC,316,2,True
PAVILION BOX,D,,,False
Bleacher 42,12,278,10,True
Field Box 27,M,160,9,True
LOGE BOX 161,FF,174,5,True
F9,M,,,False
Right Field Box 4,J,68,3,True
163,HH,172,7,True
L36,21,,,False
GS 11,6,342,5,True
R.F. BOX 93,NN,126,9,True
LOGE 141,GG,13,6,True
LOGE BOX 129,FF,204,5,True
Right Field Box 94,WW,132,19,True
G15,16,338,15,True
Grandstands 5,01,197,0,True
Right Field Roof Box RFRB25,B,17,1,True
GS11,6,342,5,True
Bleachers 37,16,1,15,True
Infield Grandstand GS27,10,247,9,True
RIGHT FIELD BOX 94,AA-XX,,,False
Pavilion Box PB3,B,324,1,True
R.F. Box 94,RR,132,14,True
Infield Grandstand GS13,7,343,6,True
G12,7,344,6,True
Loge Box 154,AA,288,0,True
Grandstands 25,16,293,15,True
Bleachers 37,19,1,18,True
Loge Box 161,GG,174,6,True
RFB 7,K,65,10,True
L36,15,,,False
FBOX 21,G,166,4,True
Grandstands 7,6,112,5,True
BLEACHER 36,14,2,13,True
G14,09,339,8,True
Loge 101,EE,346,4,True
GS 15,5,338,4,True
18 BOX 126,FF,,,False
Field Box 51,C,333,2,True
Grandstands 13,8,343,7,True
L42,15,,,False
Field Box FB14,B,274,1,True
G26,13,294,12,True
FIELD BOX 23,E,164,2,True
G4,03,111,2,True
Loge 110,EE,317,4,True
PAV. BOX 8,B,85,1,True
RF BOX 4,K,68,4,True
BLEACHER 37,21-50,,,False
BL 43,8,279,6,True
Bleachers 41,5,281,3,True
Field Box FB32,C,48,2,True
Bleachers 36,14,2,13,True
FIELD BOX 9,C,245,3,True
DUGOUT 60,1,28,0,True
FBOX 12,K,268,9,True
FIELD BOX 9,C,245,3,True
Grandstands 28,9,300,6,True
Bleachers 38,3,6,2,True
GS 13,5,343,4,True
GS 29,7,301,6,True
Field Box 29,H,168,7,True
Grandstands 15,10,338,9,True
Bleachers 36,14,2,13,True
GS8,6,115,5,True
RF BOX 89,NN,20,9,True
FLD BX17,H,273,7,True
GS 25,13,293,12,True
Bleacher 37,19,1,18,True
Infield Grandstand 24,8,243,7,True
R.F. BOX 93,FF,126,2,True
